agegroup	year	sex	n
0-4	2022	Male	0
5-9	2022	Male	0
10-14	2022	Male	1
15-19	2022	Male	8
20-24	2022	Male	5
25-29	2022	Male	4
30-34	2022	Male	23
35-39	2022	Male	11
40-44	2022	Male	29
45-49	2022	Male	57
50-54	2022	Male	112
55-59	2022	Male	159
60-64	2022	Male	246
65-69	2022	Male	260
70-74	2022	Male	442
75-79	2022	Male	621
80-84	2022	Male	431
85-89	2022	Male	304
0-4	2022	Female	0
5-9	2022	Female	0
10-14	2022	Female	1
15-19	2022	Female	4
20-24	2022	Female	4
25-29	2022	Female	5
30-34	2022	Female	18
35-39	2022	Female	11
40-44	2022	Female	28
45-49	2022	Female	59
50-54	2022	Female	80
55-59	2022	Female	125
60-64	2022	Female	211
65-69	2022	Female	256
70-74	2022	Female	394
75-79	2022	Female	569
80-84	2022	Female	497
85-89	2022	Female	451
0-4	2021	Male	0
5-9	2021	Male	1
10-14	2021	Male	0
15-19	2021	Male	6
20-24	2021	Male	5
25-29	2021	Male	11
30-34	2021	Male	14
35-39	2021	Male	20
40-44	2021	Male	32
45-49	2021	Male	37
50-54	2021	Male	116
55-59	2021	Male	112
60-64	2021	Male	245
65-69	2021	Male	297
70-74	2021	Male	478
75-79	2021	Male	555
80-84	2021	Male	401
85-89	2021	Male	349
0-4	2021	Female	0
5-9	2021	Female	0
10-14	2021	Female	3
15-19	2021	Female	4
20-24	2021	Female	6
25-29	2021	Female	4
30-34	2021	Female	19
35-39	2021	Female	15
40-44	2021	Female	25
45-49	2021	Female	65
50-54	2021	Female	105
55-59	2021	Female	122
60-64	2021	Female	187
65-69	2021	Female	270
70-74	2021	Female	405
75-79	2021	Female	512
80-84	2021	Female	503
85-89	2021	Female	498
0-4	2020	Male	0
5-9	2020	Male	0
10-14	2020	Male	2
15-19	2020	Male	4
20-24	2020	Male	2
25-29	2020	Male	6
30-34	2020	Male	13
35-39	2020	Male	20
40-44	2020	Male	32
45-49	2020	Male	63
50-54	2020	Male	89
55-59	2020	Male	121
60-64	2020	Male	187
65-69	2020	Male	280
70-74	2020	Male	481
75-79	2020	Male	496
80-84	2020	Male	393
85-89	2020	Male	269
0-4	2020	Female	0
5-9	2020	Female	0
10-14	2020	Female	3
15-19	2020	Female	5
20-24	2020	Female	4
25-29	2020	Female	7
30-34	2020	Female	10
35-39	2020	Female	12
40-44	2020	Female	31
45-49	2020	Female	64
50-54	2020	Female	89
55-59	2020	Female	110
60-64	2020	Female	170
65-69	2020	Female	291
70-74	2020	Female	436
75-79	2020	Female	484
80-84	2020	Female	462
85-89	2020	Female	412
0-4	2019	Male	0
5-9	2019	Male	1
10-14	2019	Male	0
15-19	2019	Male	3
20-24	2019	Male	5
25-29	2019	Male	4
30-34	2019	Male	10
35-39	2019	Male	16
40-44	2019	Male	27
45-49	2019	Male	58
50-54	2019	Male	75
55-59	2019	Male	131
60-64	2019	Male	189
65-69	2019	Male	333
70-74	2019	Male	445
75-79	2019	Male	506
80-84	2019	Male	424
85-89	2019	Male	286
0-4	2019	Female	0
5-9	2019	Female	0
10-14	2019	Female	1
15-19	2019	Female	5
20-24	2019	Female	9
25-29	2019	Female	9
30-34	2019	Female	10
35-39	2019	Female	23
40-44	2019	Female	37
45-49	2019	Female	53
50-54	2019	Female	98
55-59	2019	Female	101
60-64	2019	Female	155
65-69	2019	Female	272
70-74	2019	Female	434
75-79	2019	Female	546
80-84	2019	Female	438
85-89	2019	Female	439
0-4	2018	Male	0
5-9	2018	Male	1
10-14	2018	Male	2
15-19	2018	Male	5
20-24	2018	Male	3
25-29	2018	Male	12
30-34	2018	Male	12
35-39	2018	Male	17
40-44	2018	Male	29
45-49	2018	Male	52
50-54	2018	Male	77
55-59	2018	Male	113
60-64	2018	Male	200
65-69	2018	Male	336
70-74	2018	Male	456
75-79	2018	Male	474
80-84	2018	Male	365
85-89	2018	Male	257
0-4	2018	Female	0
5-9	2018	Female	1
10-14	2018	Female	3
15-19	2018	Female	4
20-24	2018	Female	11
25-29	2018	Female	3
30-34	2018	Female	17
35-39	2018	Female	14
40-44	2018	Female	39
45-49	2018	Female	53
50-54	2018	Female	74
55-59	2018	Female	118
60-64	2018	Female	173
65-69	2018	Female	254
70-74	2018	Female	439
75-79	2018	Female	469
80-84	2018	Female	436
85-89	2018	Female	390
0-4	2017	Male	0
5-9	2017	Male	0
10-14	2017	Male	0
15-19	2017	Male	3
